ALV-5000/E-WIN Data
Date :	"22.04.05"
Time :	"11:24:46"
Samplename : 	"124d Lu Es8p2 0.45µm 20mW 633nm 60s +A"
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     293.19951
Viscosity [cp]  :	       0.94000
Refractive Index:	       1.42600
Wavelength [nm] :	     633.00000
Angle [°]       :	      55.00000
Duration [s]    :	        60
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      74.53832
MeanCR1 [kHz]   :	       0.00000

"Correlation"
      14.53125	      74.09583
      14.76563	      71.82088
      15.00000	      75.74761
      15.23438	      74.28362
      15.46875	      70.39957
      15.70313	      81.79565
      15.93750	      74.97080
      16.17188	      73.87815
      16.40625	      74.77020
      16.64063	      68.40633
      16.87500	      82.71758
      17.10938	      67.14721
      17.34375	      68.26547
      17.57813	      70.82212
      17.81250	      69.61422
      18.04688	      75.06470
      18.28125	      88.31744
      18.51563	      72.13673
      18.75000	      73.16536
      18.98438	      71.68003
      19.21875	      72.03002
      19.45313	      73.05438
      19.68750	      67.14294
      19.92188	      75.46165
      20.15625	      71.19345
      20.39063	      82.32917
      20.62500	      79.72557
      20.85938	      66.48991
      21.09375	      71.77393
      21.32813	      78.21890
      21.56250	      76.47748
      21.79688	      71.38126
      22.03125	      72.40562
      22.26563	      69.82763
      22.50000	      73.66901
      22.73438	      77.93719
      22.96875	      67.58683
      23.20313	      77.93293
      23.43750	      77.13905
      23.67188	      70.63859
      23.90625	      68.18011
      24.14063	      75.47872
      24.37500	      75.32933
      24.60938	      69.82763
      24.84375	      73.21658
      25.07813	      76.68235
      25.31250	      78.38963
      25.54688	      70.45079
      25.78125	      72.44403
      26.01563	      85.67117
      26.25000	      69.72092
      26.48438	      64.44544
      26.71875	      71.74832
      26.95313	      72.92634
      27.18750	      71.14223
      27.42188	      70.84346
      27.65625	      74.99641
      27.89063	      74.01900
      28.12500	      72.84525
      28.35938	      68.17584
      28.59375	      66.41734
      28.82813	      78.94022
      29.06250	      82.36758
      29.29688	      70.28433
      29.53125	      76.98539
      29.76563	      75.45311
      30.00000	      71.67149
      30.23438	      78.41524
      30.46875	      72.71720
      30.70313	      65.63627
      30.93750	      74.01046
      31.17188	      73.75437
      31.40625	      68.12463
      31.64063	      77.76647
      31.87500	      73.70315
      32.10938	      71.80380
      32.34375	      80.21214
      32.57813	      75.38055
      32.81250	      73.27633
      33.04688	      81.71882
      33.28125	      85.20166
      33.51563	      75.22263
      33.75000	      83.25536
      33.98438	      70.74529
      34.21875	      78.95303
      34.45313	      84.95837
      34.68750	      72.75134
      34.92188	      76.70369
      35.15625	      78.77377
      35.39063	      79.87923
      35.62500	      75.97383
      35.85938	      84.95411
      36.09375	      73.75437
      36.32813	      74.18546
      36.56250	      73.86108
      36.79688	      75.52567
      37.03125	      72.27757
      37.26563	      79.62313
      37.50000	      69.31972
      37.73438	      72.92207
      37.96875	      75.35068
      38.20313	      76.57137
      38.43750	      64.85519
      38.67188	      70.10080
      38.90625	      74.71471
      39.14063	      86.35835
      39.37500	      73.75864
      39.60938	      76.70369
      39.84375	      65.18811
      40.07813	      78.09085
      40.31250	      75.23970
      40.54688	      75.27811
      40.78125	      77.80489
      41.01563	      70.18616
      41.25000	      76.89576
      41.48438	      75.18421
      41.71875	      67.01489
      41.95313	      77.62135
      42.18750	      71.04833
      42.42188	      67.49720
      42.65625	      77.82623
      42.89063	      78.15061
      43.12500	      73.13548
      43.35938	      89.04304
      43.59375	      72.78976
      43.82813	      64.33020
      44.06250	      76.55857
      44.29688	      62.16623
      44.53125	      71.13370
      44.76563	      79.34997
      45.00000	      71.21053
      45.23438	      68.79900
      45.46875	      76.37077
      45.70313	      72.64891
      45.93750	      80.89079
      46.17188	      80.96761
      46.40625	      64.68019
      46.64063	      86.02542
      46.87500	      79.36704
      47.10938	      70.01970
      47.34375	      75.02629
      47.57813	      80.10117
      47.81250	      63.06681
      48.04688	      75.76469
      48.28125	      68.57705
      48.51563	      79.34997
      48.75000	      72.63610
      48.98438	      79.43961
      49.21875	      78.85913
      49.45313	      75.86713
      49.68750	      78.85059
      49.92188	      67.59537
      50.15625	      82.51270
      50.39063	      73.09280
      50.62500	      69.96848
      50.85938	      75.03909
      51.09375	      65.94358
      51.32813	      72.55927
      51.56250	      66.43442
      51.79688	      71.48796
      52.03125	      69.02522
      52.26563	      78.89327
      52.50000	      72.55074
      52.73438	      82.85842
      52.96875	      80.45116
      53.20313	      71.67576
      53.43750	      71.12943
      53.67188	      77.74086
      53.90625	      81.14261
      54.14063	      67.76183
      54.37500	      69.70812
      54.60938	      74.38179
      54.84375	      75.00068
      55.07813	      66.31064
      55.31250	      78.13354
      55.54688	      72.02148
      55.78125	      72.59342
      56.01563	      69.10204
      56.25000	      76.37931
      56.48438	      69.45630
      56.71875	      69.50751
      56.95313	      77.89452
      57.18750	      87.99306
      57.42188	      73.19097
